x,y
200,36
166,384
170,441
189,385
96,397
146,384
233,327
122,397
116,397
103,322
144,322
142,397
239,327
170,385
237,373
245,399
150,384
243,373
265,400
190,28
214,373
140,441
263,351
213,352
161,384
146,256
188,323
215,386
218,386
255,324
170,323
175,385
126,322
170,326
195,385
276,400
121,322
259,351
190,398
99,322
170,256
99,325
208,352
257,328
247,305
215,327
156,384
238,324
102,397
129,397
184,385
167,326
239,399
266,351
142,384
93,440
195,32
252,328
241,353
148,322
158,351
195,372
109,397
201,352
210,304
62,438
132,29
238,386
219,399
59,321
135,397
170,260
200,372
68,439
189,373
166,351
62,325
57,325
170,434
268,400
82,321
196,398
166,441
179,20
248,441
168,13
114,433
250,400
243,324
144,441
216,352
192,287
147,350
127,304
231,305
183,441
209,372
170,398
135,441
194,350
132,322
276,374
122,305
166,398
142,256
148,326
115,322
141,434
67,397
243,305
108,255
158,326
235,351
187,287
123,384
107,325
113,440
193,304
230,286
235,286
212,327
87,322
218,374
170,350
248,436
97,384
214,304
123,284
130,256
244,327
105,255
233,399
166,373
193,326
247,353
120,440
183,435
200,323
226,399
126,33
197,435
76,321
228,261
90,255
221,327
159,373
205,327
299,438
184,398
201,385
159,256
230,375
263,387
95,321
81,325
172,15
133,434
208,257
69,431
238,286
268,434
87,397
211,243
75,325
89,440
151,397
68,302
101,304
102,286
38,436
211,323
202,398
138,305
43,397
54,348
226,257
124,259
106,286
213,287
211,257
73,397
229,441
146,373
244,386
158,322
117,384
92,325
177,441
225,375
176,398
227,327
98,440
80,283
254,351
135,384
130,384
94,384
186,256
83,304
267,387
146,260
117,305
254,441
199,304
112,384
215,399
170,286
272,435
125,256
273,440
209,287
253,434
77,283
204,304
127,441
203,287
145,305
248,373
147,224
148,304
69,321
193,323
197,442
95,371
205,323
88,259
151,351
54,397
237,305
293,440
242,441
190,433
115,325
182,372
105,259
175,326
234,434
120,433
108,440
208,399
63,432
38,433
97,350
273,375
128,286
104,304
199,326
150,441
132,303
110,286
78,397
242,435
259,400
208,385
217,433
226,324
160,441
187,91
151,322
50,348
249,386
170,373
108,321
74,439
177,372
235,441
166,434
223,385
183,322
151,326
224,261
262,374
78,303
64,321
228,351
111,371
220,243
175,351
88,304
202,435
278,440
187,304
32,436
133,199
160,398
221,350
221,433
103,384
218,304
211,43
153,256
47,348
143,349
133,325
166,200
222,441
93,433
191,442
47,397
150,226
71,304
269,440
42,431
84,431
251,324
261,436
175,323
118,371
182,326
170,305
106,241
124,371
96,304
149,18
144,434
261,441
198,287
177,434
207,243
231,386
274,387
150,240
138,322
167,286
69,325
182,287
137,326
221,50
110,305
293,436
89,432
87,325
181,305
255,374
146,242
149,286
175,256
131,241
143,372
106,371
266,374
285,434
185,200
151,373
136,371
86,283
132,349
83,439
262,340
170,208
163,200
217,441
145,286
257,387
114,259
49,383
135,256
127,433
59,348
156,398
74,433
48,431
108,434
278,436
139,286
60,397
278,387
210,435
229,435
226,305
125,242
175,260
125,350
78,349
181,256
166,304
74,384
137,349
182,350
36,397
57,438
159,286
192,257
199,167
99,432
94,255
90,371
218,287
151,434
92,350
271,360
160,260
97,240
166,190
112,351
119,350
17,435
192,260
144,23
152,190
112,207
107,225
181,260
98,285
215,243
186,208
72,350
109,241
99,373
42,437
203,200
171,200
65,351
288,440
57,433
160,305
126,225
100,241
131,225
100,255
94,259
120,259
210,441
159,434
70,371
99,259
186,226
175,287
202,442
143,224
225,286
186,242
63,371
18,431
203,257
107,351
192,243
55,384
104,224
25,434
62,384
185,160
90,283
176,305
167,208
196,260
120,255
167,241
132,207
191,169
190,208
188,350
178,162
218,48
142,260
190,200
76,371
167,178
88,384
68,384
176,82
136,240
163,192
141,242
47,437
114,255
133,286
134,192
131,371
159,9
83,350
81,371
111,224
234,275
139,189
170,243
218,261
134,162
216,257
101,349
82,272
160,241
45,383
191,225
220,323
171,178
58,371
128,168
129,177
116,199
210,225
171,193
51,371
190,176
135,178
136,226
151,208
197,257
121,189
154,15
117,207
206,208
148,189
131,167
40,383
138,207
198,190
174,208
170,77
118,284
36,370
80,384
185,168
114,241
12,430
53,334
185,192
182,226
147,199
202,243
168,162
199,101
40,370
182,87
197,243
152,420
167,226
142,207
182,208
121,242
47,371
128,199
202,208
207,226
213,225
148,208
122,225
207,40
184,178
182,242
163,208
286,421
128,190
167,158
168,168
113,41
124,199
65,309
152,199
194,200
137,26
197,225
242,292
153,157
152,178
73,290
160,226
127,207
148,178
104,47
195,208
115,223
26,415
116,39
209,216
122,207
108,215
115,168
148,157
145,175
